N3,N4,N2,Distância,Ângulo,Label
-58,-59,-40,5,0,5_0
-55,-59,-41,5,0,5_0
-54,-59,-42,5,0,5_0
-60,-58,-41,5,0,5_0
-60,-56,-41,5,0,5_0
-61,-57,-41,5,0,5_0
-62,-57,-44,5,0,5_0
-63,-57,-44,5,0,5_0
-64,-60,-43,5,0,5_0
-64,-59,-45,5,0,5_0
-64,-60,-42,5,0,5_0
-64,-61,-43,5,0,5_0
-57,-57,-40,5,0,5_0
-58,-59,-40,5,0,5_0
-60,-60,-40,5,0,5_0
-60,-58,-40,5,0,5_0
-59,-58,-40,5,0,5_0
-61,-59,-40,5,0,5_0
-60,-59,-46,5,0,5_0
-63,-59,-41,5,0,5_0
-62,-59,-41,5,0,5_0
-60,-57,-39,5,0,5_0
-61,-59,-40,5,0,5_0
-62,-58,-40,5,0,5_0
-68,-59,-41,5,0,5_0
-60,-59,-41,5,0,5_0
-61,-59,-41,5,0,5_0
-59,-59,-41,5,0,5_0
-57,-58,-40,5,0,5_0
-59,-59,-41,5,0,5_0
-57,-59,-40,5,0,5_0
-58,-59,-46,5,0,5_0
-58,-57,-41,5,0,5_0
-60,-59,-43,5,0,5_0
-58,-59,-39,5,0,5_0
-61,-57,-40,5,0,5_0
-61,-56,-40,5,0,5_0
-66,-57,-44,5,0,5_0
-58,-57,-40,5,0,5_0
-65,-56,-40,5,0,5_0
-61,-57,-40,5,0,5_0
-61,-56,-39,5,0,5_0
-56,-56,-39,5,0,5_0
-56,-57,-39,5,0,5_0
-55,-57,-40,5,0,5_0
-55,-57,-39,5,0,5_0
-56,-57,-39,5,0,5_0
-55,-57,-39,5,0,5_0
-55,-55,-38,5,0,5_0
-55,-57,-39,5,0,5_0
-54,-58,-38,5,0,5_0
-54,-59,-39,5,0,5_0
-60,-57,-39,5,0,5_0
-57,-57,-39,5,0,5_0
-58,-55,-39,5,0,5_0
-57,-56,-39,5,0,5_0
-59,-57,-39,5,0,5_0
-60,-57,-41,5,0,5_0
-63,-57,-39,5,0,5_0
-62,-57,-39,5,0,5_0
-60,-56,-49,5,0,5_0
-61,-57,-39,5,0,5_0
-60,-58,-39,5,0,5_0
-59,-58,-39,5,0,5_0
-58,-57,-40,5,0,5_0
-61,-57,-38,5,0,5_0
-62,-57,-40,5,0,5_0
-64,-56,-40,5,0,5_0
-64,-56,-42,5,0,5_0
-58,-56,-38,5,0,5_0
-61,-57,-42,5,0,5_0
-56,-57,-42,5,0,5_0
-54,-56,-40,5,0,5_0
-56,-56,-41,5,0,5_0
-56,-57,-40,5,0,5_0
-52,-56,-40,5,0,5_0
-57,-57,-39,5,0,5_0
-57,-58,-38,5,0,5_0
-56,-58,-40,5,0,5_0
-57,-59,-38,5,0,5_0
-58,-59,-41,5,0,5_0
-55,-58,-41,5,0,5_0
-54,-56,-41,5,0,5_0
-60,-55,-40,5,0,5_0
-60,-56,-41,5,0,5_0
-61,-56,-39,5,0,5_0
-62,-56,-50,5,0,5_0
-63,-55,-38,5,0,5_0
-64,-55,-40,5,0,5_0
-64,-56,-39,5,0,5_0
-64,-55,-40,5,0,5_0
-64,-55,-38,5,0,5_0
