- Recebido pacote de Reply [nodeId: 3, packetId: 2, RSSISend: -47, RSSIRecv: -42]
- Recebido pacote de Reply [nodeId: 3, packetId: 4, RSSISend: -48, RSSIRecv: -42]
- Recebido pacote de Reply [nodeId: 3, packetId: 5, RSSISend: -48, RSSIRecv: -41]
- Recebido pacote de Reply [nodeId: 3, packetId: 6, RSSISend: -48, RSSIRecv: -42]
- Recebido pacote de Reply [nodeId: 3, packetId: 7, RSSISend: -49, RSSIRecv: -41]
- Recebido pacote de Reply [nodeId: 3, packetId: 8, RSSISend: -48, RSSIRecv: -41]
- Recebido pacote de Reply [nodeId: 3, packetId: 10, RSSISend: -49, RSSIRecv: -48]
- Recebido pacote de Reply [nodeId: 3, packetId: 20, RSSISend: -47, RSSIRecv: -39]
- Recebido pacote de Reply [nodeId: 3, packetId: 21, RSSISend: -46, RSSIRecv: -37]
- Recebido pacote de Reply [nodeId: 3, packetId: 29, RSSISend: -46, RSSIRecv: -41]
- Recebido pacote de Reply [nodeId: 3, packetId: 31, RSSISend: -47, RSSIRecv: -41]
- Recebido pacote de Reply [nodeId: 3, packetId: 32, RSSISend: -47, RSSIRecv: -41]
- Recebido pacote de Reply [nodeId: 3, packetId: 33, RSSISend: -48, RSSIRecv: -42]
- Recebido pacote de Reply [nodeId: 3, packetId: 34, RSSISend: -46, RSSIRecv: -41]
- Recebido pacote de Reply [nodeId: 3, packetId: 35, RSSISend: -46, RSSIRecv: -40]
- Recebido pacote de Reply [nodeId: 3, packetId: 37, RSSISend: -47, RSSIRecv: -40]
- Recebido pacote de Reply [nodeId: 3, packetId: 38, RSSISend: -48, RSSIRecv: -43]
- Recebido pacote de Reply [nodeId: 3, packetId: 39, RSSISend: -46, RSSIRecv: -41]
- Recebido pacote de Reply [nodeId: 3, packetId: 41, RSSISend: -47, RSSIRecv: -41]
- Recebido pacote de Reply [nodeId: 3, packetId: 2, RSSISend: -48, RSSIRecv: -42]
- Recebido pacote de Reply [nodeId: 3, packetId: 3, RSSISend: -48, RSSIRecv: -41]
- Recebido pacote de Reply [nodeId: 3, packetId: 4, RSSISend: -48, RSSIRecv: -41]
- Recebido pacote de Reply [nodeId: 3, packetId: 5, RSSISend: -47, RSSIRecv: -46]
- Recebido pacote de Reply [nodeId: 3, packetId: 8, RSSISend: -48, RSSIRecv: -42]
- Recebido pacote de Reply [nodeId: 3, packetId: 11, RSSISend: -47, RSSIRecv: -41]
- Recebido pacote de Reply [nodeId: 3, packetId: 1, RSSISend: -49, RSSIRecv: -43]
- Recebido pacote de Reply [nodeId: 3, packetId: 2, RSSISend: -49, RSSIRecv: -41]
- Recebido pacote de Reply [nodeId: 3, packetId: 4, RSSISend: -47, RSSIRecv: -40]
- Recebido pacote de Reply [nodeId: 3, packetId: 5, RSSISend: -46, RSSIRecv: -40]
- Recebido pacote de Reply [nodeId: 3, packetId: 6, RSSISend: -46, RSSIRecv: -40]
- Recebido pacote de Reply [nodeId: 3, packetId: 6, RSSISend: -47, RSSIRecv: -39]
- Recebido pacote de Reply [nodeId: 3, packetId: 7, RSSISend: -48, RSSIRecv: -39]
- Recebido pacote de Reply [nodeId: 3, packetId: 8, RSSISend: -47, RSSIRecv: -41]
